,Open Time,Open,High,Low,Close,Volume,Name,Haiking Average
14,2021-10-30 08:00:00,4349.72000000,4357.85000000,4288.69000000,4333.35000000,,4H23,4332.4025
15,2021-10-30 12:00:00,4333.35000000,4349.17000000,4232.20000000,4282.45000000,,4H22,4299.2925
16,2021-10-30 16:00:00,4282.44000000,4339.58000000,4266.34000000,4336.63000000,,4H21,4306.2474999999995
17,2021-10-30 20:00:00,4336.63000000,4344.29000000,4241.00000000,4322.68000000,,4H20,4311.150000000001
18,2021-10-31 00:00:00,4322.68000000,4399.14000000,4316.09000000,4370.49000000,,4H19,4352.1
19,2021-10-31 04:00:00,4370.49000000,4384.00000000,4299.23000000,4318.16000000,,4H18,4342.969999999999
20,2021-10-31 08:00:00,4317.61000000,4320.00000000,4191.05000000,4207.48000000,,4H17,4259.035
21,2021-10-31 12:00:00,4207.71000000,4233.57000000,4164.35000000,4214.36000000,,4H16,4204.9974999999995
22,2021-10-31 16:00:00,4214.35000000,4259.04000000,4191.68000000,4247.82000000,,4H15,4228.2225
23,2021-10-31 20:00:00,4247.81000000,4329.46000000,4230.00000000,4287.21000000,,4H14,4273.62
24,2021-11-01 00:00:00,4287.48000000,4325.00000000,4175.00000000,4190.66000000,,4H13,4244.535
25,2021-11-01 04:00:00,4191.50000000,4320.00000000,4146.30000000,4302.93000000,,4H12,4240.1825
26,2021-11-01 08:00:00,4302.94000000,4354.33000000,4294.52000000,4315.00000000,,4H11,4316.6975
27,2021-11-01 12:00:00,4315.00000000,4386.58000000,4308.25000000,4349.98000000,,4H10,4339.952499999999
28,2021-11-01 16:00:00,4349.97000000,4366.00000000,4264.63000000,4364.28000000,,4H9,4336.22
29,2021-11-01 20:00:00,4364.28000000,4365.78000000,4278.07000000,4319.43000000,,4H8,4331.889999999999
30,2021-11-02 00:00:00,4319.43000000,4349.89000000,4284.43000000,4318.83000000,,4H7,4318.145
31,2021-11-02 04:00:00,4318.82000000,4387.81000000,4315.37000000,4340.81000000,,4H6,4340.7025
32,2021-11-02 08:00:00,4340.82000000,4477.46000000,4330.02000000,4413.09000000,,4H5,4390.3475
