,Open Time,Open,High,Low,Close,Volume,Name,Haiking Average
0,2021-10-04 00:00:00,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,D14,3377.8075
1,2021-10-05 00:00:00,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,D13,3452.59
2,2021-10-06 00:00:00,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,D12,3516.12
3,2021-10-07 00:00:00,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000,D11,3571.7825000000003
4,2021-10-08 00:00:00,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000,D10,3594.4
5,2021-10-09 00:00:00,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000,D9,3577.755
6,2021-10-10 00:00:00,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000,D8,3499.5125
7,2021-10-11 00:00:00,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000,D7,3487.785
8,2021-10-12 00:00:00,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000,D6,3495.9750000000004
9,2021-10-13 00:00:00,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000,D5,3531.1375
10,2021-10-14 00:00:00,3607.41000000,3824.00000000,3586.04000000,3790.82000000,481894.14730000,D4,3702.0675
11,2021-10-15 00:00:00,3790.82000000,3907.77000000,3734.10000000,3868.99000000,504321.73200000,D3,3825.42
12,2021-10-16 00:00:00,3868.38000000,3971.00000000,3803.56000000,3829.96000000,373727.85490000,D2,3868.225
13,2021-10-17 00:00:00,3829.96000000,3919.19000000,3640.00000000,3846.85000000,368898.98310000,D1,3809.0
0,2021-10-11 00:00:00,3414.22000000,3522.15000000,3371.00000000,3518.15000000,118392.22830000,4H37,3456.38
1,2021-10-11 04:00:00,3518.15000000,3585.00000000,3502.45000000,3577.07000000,60273.91900000,4H36,3545.6675000000005
2,2021-10-11 08:00:00,3577.07000000,3623.80000000,3532.69000000,3558.71000000,115031.30560000,4H35,3573.0675000000006
3,2021-10-11 12:00:00,3558.72000000,3607.93000000,3547.90000000,3593.57000000,74006.24070000,4H34,3577.0299999999997
4,2021-10-11 16:00:00,3593.58000000,3599.99000000,3514.45000000,3515.00000000,57345.80030000,4H33,3555.755
5,2021-10-11 20:00:00,3515.00000000,3545.84000000,3465.70000000,3542.12000000,68472.38810000,4H32,3517.165
6,2021-10-12 00:00:00,3542.12000000,3543.19000000,3447.32000000,3486.21000000,63354.31510000,4H31,3504.71
7,2021-10-12 04:00:00,3486.22000000,3520.00000000,3454.53000000,3481.59000000,54476.96940000,4H30,3485.585
8,2021-10-12 08:00:00,3481.59000000,3508.31000000,3415.00000000,3456.95000000,66200.92850000,4H29,3465.4625
9,2021-10-12 12:00:00,3456.94000000,3547.11000000,3403.21000000,3505.02000000,123610.94810000,4H28,3478.0699999999997
10,2021-10-12 16:00:00,3505.02000000,3526.13000000,3460.98000000,3465.67000000,52207.10760000,4H27,3489.45
11,2021-10-12 20:00:00,3465.67000000,3511.96000000,3418.00000000,3491.46000000,49526.92310000,4H26,3471.7725
12,2021-10-13 00:00:00,3491.43000000,3532.37000000,3482.69000000,3501.88000000,42270.12290000,4H25,3502.0925
13,2021-10-13 04:00:00,3501.87000000,3525.00000000,3426.04000000,3427.76000000,80541.70610000,4H24,3470.1675000000005
14,2021-10-13 08:00:00,3428.07000000,3469.87000000,3412.70000000,3468.68000000,58490.20990000,4H23,3444.83
15,2021-10-13 12:00:00,3468.67000000,3513.48000000,3413.00000000,3485.52000000,69514.20630000,4H22,3470.1675
16,2021-10-13 16:00:00,3485.53000000,3536.42000000,3480.00000000,3521.23000000,59757.07720000,4H21,3505.795
17,2021-10-13 20:00:00,3521.24000000,3613.00000000,3520.02000000,3607.42000000,82889.79980000,4H20,3565.42
18,2021-10-14 00:00:00,3607.41000000,3655.65000000,3586.04000000,3643.00000000,77998.61170000,4H19,3623.0249999999996
19,2021-10-14 04:00:00,3643.00000000,3662.80000000,3613.00000000,3630.01000000,50587.28820000,4H18,3637.2025000000003
20,2021-10-14 08:00:00,3630.00000000,3749.33000000,3620.00000000,3735.75000000,97945.58610000,4H17,3683.77
21,2021-10-14 12:00:00,3735.74000000,3819.00000000,3720.04000000,3808.42000000,136487.92030000,4H16,3770.8
22,2021-10-14 16:00:00,3808.41000000,3824.00000000,3752.40000000,3791.77000000,79940.37020000,4H15,3794.145
