,Open Time,Open,High,Low,Close,Volume,Name,Haiking Average
0,2021-10-04 00:00:00,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,D14,48463.0175
1,2021-10-05 00:00:00,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,D13,50401.405
2,2021-10-06 00:00:00,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,D12,53229.85
3,2021-10-07 00:00:00,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000,D11,54447.3825
4,2021-10-08 00:00:00,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000,D10,54363.565
5,2021-10-09 00:00:00,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000,D9,54514.015
6,2021-10-10 00:00:00,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800,D8,55062.5075
7,2021-10-11 00:00:00,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100,D7,56096.115
8,2021-10-12 00:00:00,57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000,D6,56256.82
9,2021-10-13 00:00:00,55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000,D5,56327.025
10,2021-10-14 00:00:00,57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100,D4,57517.34
11,2021-10-15 00:00:00,57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200,D3,59700.84
12,2021-10-16 00:00:00,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,D2,61269.10249999999
13,2021-10-17 00:00:00,60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000,D1,60771.322499999995
0,2021-10-11 00:00:00,54659.01000000,56750.00000000,54415.06000000,56507.09000000,13331.56205900,4H37,55582.79
1,2021-10-11 04:00:00,56505.05000000,57049.00000000,56142.85000000,56789.76000000,8050.99524900,4H36,56621.665
2,2021-10-11 08:00:00,56789.76000000,56879.95000000,55862.78000000,56407.51000000,7651.44583000,4H35,56485.0
3,2021-10-11 12:00:00,56406.68000000,57678.00000000,56092.33000000,57490.18000000,11163.00955600,4H34,56916.7975
4,2021-10-11 16:00:00,57490.17000000,57839.04000000,57168.67000000,57488.33000000,6722.16036700,4H33,57496.552500000005
5,2021-10-11 20:00:00,57488.33000000,57506.84000000,56800.00000000,57471.35000000,6013.99269000,4H32,57316.63
6,2021-10-12 00:00:00,57471.35000000,57471.35000000,56400.00000000,56711.35000000,7661.14666000,4H31,57013.5125
7,2021-10-12 04:00:00,56711.36000000,57680.00000000,56558.00000000,57342.79000000,6572.08788000,4H30,57073.0375
8,2021-10-12 08:00:00,57342.79000000,57618.99000000,56680.00000000,57240.14000000,7093.93730000,4H29,57220.479999999996
9,2021-10-12 12:00:00,57240.14000000,57450.00000000,56010.00000000,56303.20000000,11228.66882000,4H28,56750.835
10,2021-10-12 16:00:00,56300.66000000,56376.74000000,55154.72000000,55329.78000000,9244.17275000,4H27,55790.475
11,2021-10-12 20:00:00,55329.78000000,56548.99000000,53879.00000000,55996.93000000,11671.27209000,4H26,55438.674999999996
12,2021-10-13 00:00:00,55996.91000000,56599.99000000,55825.90000000,56277.78000000,5980.76846000,4H25,56175.145
13,2021-10-13 04:00:00,56277.79000000,56365.00000000,54562.34000000,54612.61000000,10682.25936000,4H24,55454.435
14,2021-10-13 08:00:00,54612.60000000,55295.70000000,54167.19000000,55210.79000000,9667.88324000,4H23,54821.57
15,2021-10-13 12:00:00,55210.80000000,56440.75000000,54521.74000000,56168.85000000,10626.72608000,4H22,55585.534999999996
16,2021-10-13 16:00:00,56168.85000000,57300.00000000,56072.75000000,57259.77000000,10095.69270000,4H21,56700.3425
17,2021-10-13 20:00:00,57259.77000000,57777.00000000,56607.27000000,57367.00000000,8755.11508000,4H20,57252.759999999995
18,2021-10-14 00:00:00,57370.83000000,58532.54000000,57138.72000000,58065.99000000,8883.24276100,4H19,57777.020000000004
19,2021-10-14 04:00:00,58065.99000000,58169.99000000,57333.33000000,57367.30000000,6072.24549000,4H18,57734.1525
20,2021-10-14 08:00:00,57367.30000000,58150.00000000,57189.00000000,57622.42000000,7588.26582000,4H17,57582.18
21,2021-10-14 12:00:00,57622.42000000,57986.20000000,56947.59000000,57331.31000000,8973.34822000,4H16,57471.88
22,2021-10-14 16:00:00,57331.30000000,58086.98000000,56818.05000000,57833.12000000,8438.51013000,4H15,57517.3625
23,2021-10-14 20:00:00,57833.11000000,57867.11000000,57207.89000000,57347.94000000,3097.72436000,4H14,57564.0125
24,2021-10-15 00:00:00,57347.94000000,59453.75000000,56850.00000000,59431.71000000,14605.26752100,4H13,58270.85
25,2021-10-15 04:00:00,59431.70000000,59998.00000000,59142.86000000,59231.50000000,12301.34388000,4H12,59451.015
26,2021-10-15 08:00:00,59231.50000000,59537.61000000,58739.17000000,59527.99000000,10325.42444000,4H11,59259.06749999999
27,2021-10-15 12:00:00,59527.99000000,60361.50000000,59187.66000000,60038.36000000,13521.04030600,4H10,59778.8775
28,2021-10-15 16:00:00,60038.36000000,61880.00000000,60001.91000000,61446.32000000,16551.78547000,4H9,60841.6475
29,2021-10-15 20:00:00,61446.33000000,62933.00000000,60797.01000000,61672.42000000,15208.04640500,4H8,61712.19
30,2021-10-16 00:00:00,61672.42000000,61771.65000000,61120.00000000,61655.99000000,5588.91891000,4H7,61555.015
31,2021-10-16 04:00:00,61655.99000000,62378.42000000,61551.31000000,61733.96000000,5511.08148000,4H6,61829.92
32,2021-10-16 08:00:00,61733.96000000,62062.55000000,61324.79000000,61597.26000000,7202.45550000,4H5,61679.64000000001
33,2021-10-16 12:00:00,61597.26000000,61605.81000000,60398.73000000,60941.04000000,9088.29165000,4H4,61135.71
34,2021-10-16 16:00:00,60941.04000000,61215.64000000,60150.00000000,60834.34000000,4907.47821000,4H3,60785.255000000005
35,2021-10-16 20:00:00,60834.34000000,61300.00000000,60500.00000000,60875.57000000,3169.65521000,4H2,60877.4775
36,2021-10-17 00:00:00,60875.57000000,61405.94000000,60475.76000000,61115.85000000,4503.40157000,4H1,60968.28
0,2021-10-14 00:00:00,57370.83000000,57740.00000000,57138.72000000,57727.76000000,1814.75659000,1H73,57494.3275
1,2021-10-14 01:00:00,57727.76000000,58467.33000000,57611.00000000,58300.02000000,4119.37925500,1H72,58026.5275
2,2021-10-14 02:00:00,58300.03000000,58532.54000000,58075.13000000,58210.46000000,2004.08461600,1H71,58279.54
3,2021-10-14 03:00:00,58210.46000000,58260.76000000,58023.64000000,58065.99000000,945.02230000,1H70,58140.212499999994
4,2021-10-14 04:00:00,58065.99000000,58169.99000000,57678.06000000,57986.55000000,1726.70219000,1H69,57975.1475
5,2021-10-14 05:00:00,57986.54000000,58113.38000000,57800.00000000,57965.01000000,1290.49885000,1H68,57966.2325
6,2021-10-14 06:00:00,57965.01000000,58069.20000000,57480.76000000,57673.39000000,1612.54666000,1H67,57797.09
7,2021-10-14 07:00:00,57673.40000000,57799.31000000,57333.33000000,57367.30000000,1442.49779000,1H66,57543.33500000001
8,2021-10-14 08:00:00,57367.30000000,57697.91000000,57327.59000000,57453.23000000,1356.79390000,1H65,57461.5075
9,2021-10-14 09:00:00,57453.22000000,57713.31000000,57189.00000000,57414.60000000,2326.10217000,1H64,57442.5325
10,2021-10-14 10:00:00,57414.60000000,57795.02000000,57240.85000000,57660.05000000,1614.86211000,1H63,57527.63
11,2021-10-14 11:00:00,57660.04000000,58150.00000000,57552.49000000,57622.42000000,2290.50764000,1H62,57746.237499999996
12,2021-10-14 12:00:00,57622.42000000,57986.20000000,57397.25000000,57563.02000000,2327.94242000,1H61,57642.2225
13,2021-10-14 13:00:00,57563.02000000,57760.00000000,57300.00000000,57399.71000000,1580.52184000,1H60,57505.682499999995
14,2021-10-14 14:00:00,57399.72000000,57628.33000000,57243.00000000,57385.55000000,1768.34616000,1H59,57414.15
15,2021-10-14 15:00:00,57385.55000000,57817.41000000,56947.59000000,57331.31000000,3296.53780000,1H58,57370.465000000004
16,2021-10-14 16:00:00,57331.30000000,57437.67000000,56964.30000000,57113.48000000,2164.37609000,1H57,57211.6875
17,2021-10-14 17:00:00,57113.48000000,57261.90000000,57069.34000000,57186.79000000,774.80906000,1H56,57157.8775
18,2021-10-14 18:00:00,57186.79000000,58086.98000000,56818.05000000,58029.33000000,2842.96638000,1H55,57530.287500000006
19,2021-10-14 19:00:00,58029.33000000,58038.46000000,56818.05000000,57833.12000000,2656.35860000,1H54,57679.740000000005
20,2021-10-14 20:00:00,57833.11000000,57867.11000000,57414.09000000,57427.62000000,821.43830000,1H53,57635.482500000006
21,2021-10-14 21:00:00,57427.63000000,57740.11000000,57427.62000000,57740.10000000,710.74696000,1H52,57583.865
22,2021-10-14 22:00:00,57740.10000000,57749.98000000,57468.53000000,57586.77000000,626.70584000,1H51,57636.345
23,2021-10-14 23:00:00,57586.77000000,57649.99000000,57207.89000000,57347.94000000,938.83326000,1H50,57448.14749999999
24,2021-10-15 00:00:00,57347.94000000,57449.99000000,56990.00000000,57050.36000000,1210.11554000,1H49,57209.5725
25,2021-10-15 01:00:00,57050.35000000,57307.86000000,56850.00000000,57258.62000000,1259.04120000,1H48,57116.707500000004
26,2021-10-15 02:00:00,57258.62000000,59333.00000000,57095.82000000,59086.91000000,8281.42972200,1H47,58193.5875
27,2021-10-15 03:00:00,59086.91000000,59453.75000000,58849.84000000,59431.71000000,3854.68105900,1H46,59205.5525
28,2021-10-15 04:00:00,59431.70000000,59700.00000000,59142.86000000,59597.64000000,3965.42753900,1H45,59468.05
29,2021-10-15 05:00:00,59597.64000000,59998.00000000,59379.14000000,59550.01000000,4157.12711100,1H44,59631.197499999995
30,2021-10-15 06:00:00,59550.00000000,59720.00000000,59358.00000000,59653.15000000,2324.72597000,1H43,59570.2875
31,2021-10-15 07:00:00,59653.15000000,59689.99000000,59189.23000000,59231.50000000,1854.06326000,1H42,59440.9675
32,2021-10-15 08:00:00,59231.50000000,59426.97000000,58800.00000000,58945.34000000,4013.25429000,1H41,59100.9525
33,2021-10-15 09:00:00,58945.35000000,59374.51000000,58739.17000000,59365.00000000,2353.35548000,1H40,59106.00750000001
34,2021-10-15 10:00:00,59364.99000000,59398.97000000,58848.95000000,59290.98000000,2239.73976000,1H39,59225.9725
