,Open Time,Open,High,Low,Close,Volume
0,2021-02-01 00:00:00,33092.97000000,33830.00000000,32296.16000000,33573.97000000,14674.64903800
1,2021-02-01 04:00:00,33573.25000000,34427.00000000,33284.24000000,33803.97000000,15350.21249100
2,2021-02-01 08:00:00,33802.60000000,34717.27000000,33589.23000000,34183.33000000,19521.50787200
3,2021-02-01 12:00:00,34183.33000000,34460.00000000,33160.00000000,33160.17000000,17478.70659700
4,2021-02-01 16:00:00,33160.00000000,34100.00000000,33133.26000000,33838.13000000,9133.51937400
5,2021-02-01 20:00:00,33838.13000000,34039.00000000,33430.76000000,33526.37000000,6559.68151000
6,2021-02-02 00:00:00,33517.09000000,34161.39000000,33418.00000000,33550.32000000,9103.94322500
7,2021-02-02 04:00:00,33554.08000000,34400.00000000,33500.00000000,34223.38000000,10429.38599700
8,2021-02-02 08:00:00,34223.38000000,35668.10000000,34080.00000000,34720.15000000,22068.65874800
9,2021-02-02 12:00:00,34722.97000000,35200.00000000,34333.00000000,34708.47000000,12709.43450700
10,2021-02-02 16:00:00,34708.47000000,35800.00000000,34556.85000000,35762.03000000,13461.67164200
11,2021-02-02 20:00:00,35762.05000000,35984.33000000,35466.00000000,35466.24000000,10283.56576100
12,2021-02-03 00:00:00,35472.71000000,36500.00000000,35362.38000000,36403.47000000,13559.34709300
13,2021-02-03 04:00:00,36403.47000000,36845.00000000,36231.66000000,36297.57000000,11921.87584900
14,2021-02-03 08:00:00,36297.58000000,36299.98000000,35511.00000000,35969.41000000,13023.20914700
15,2021-02-03 12:00:00,35969.41000000,36917.27000000,35810.90000000,36850.00000000,15213.60542600
16,2021-02-03 16:00:00,36850.00000000,37221.42000000,36643.07000000,36788.89000000,15217.45964600
17,2021-02-03 20:00:00,36788.89000000,37662.63000000,36644.44000000,37618.87000000,11848.83650200
18,2021-02-04 00:00:00,37620.26000000,38288.00000000,37363.17000000,37498.78000000,16048.73080800
19,2021-02-04 04:00:00,37498.78000000,38195.00000000,37326.83000000,37843.40000000,11666.89534000
20,2021-02-04 08:00:00,37843.40000000,38708.27000000,36662.45000000,37321.75000000,23737.16577300
21,2021-02-04 12:00:00,37319.43000000,37763.57000000,36161.95000000,36564.23000000,16990.98979300
22,2021-02-04 16:00:00,36564.23000000,37499.99000000,36399.79000000,37467.18000000,12863.24217000
23,2021-02-04 20:00:00,37467.18000000,37783.83000000,36841.77000000,36936.66000000,10773.71201400
24,2021-02-05 00:00:00,36936.65000000,37400.00000000,36570.00000000,37366.02000000,10632.92953400
25,2021-02-05 04:00:00,37366.01000000,37727.22000000,36995.27000000,37653.98000000,9321.43907300
26,2021-02-05 08:00:00,37659.64000000,37800.00000000,37200.00000000,37691.32000000,10411.09718200
27,2021-02-05 12:00:00,37691.32000000,38310.12000000,37527.14000000,37960.76000000,16107.66023700
28,2021-02-05 16:00:00,37960.76000000,38163.34000000,37230.00000000,37608.92000000,12503.52316000
29,2021-02-05 20:00:00,37608.91000000,38309.00000000,37485.94000000,38290.24000000,7704.68508900
30,2021-02-06 00:00:00,38289.32000000,39666.00000000,38215.94000000,39384.74000000,25430.06681200
31,2021-02-06 04:00:00,39386.92000000,39488.62000000,38600.00000000,39359.12000000,10697.93160200
32,2021-02-06 08:00:00,39362.27000000,40479.86000000,39297.75000000,40199.99000000,18448.75608700
33,2021-02-06 12:00:00,40199.52000000,40866.66000000,39836.72000000,40864.73000000,15572.22546200
34,2021-02-06 16:00:00,40865.12000000,40955.51000000,39940.44000000,40179.42000000,14276.24785700
35,2021-02-06 20:00:00,40179.42000000,40469.19000000,39035.33000000,39186.94000000,14332.08336300
36,2021-02-07 00:00:00,39181.01000000,39611.04000000,38344.00000000,38841.46000000,16160.62467300
37,2021-02-07 04:00:00,38839.52000000,39094.36000000,37923.00000000,39030.00000000,12893.36498800
38,2021-02-07 08:00:00,39030.00000000,39700.00000000,38762.16000000,39046.60000000,12809.52363900
39,2021-02-07 12:00:00,39044.37000000,39272.69000000,37580.00000000,37921.11000000,17482.43892500
40,2021-02-07 16:00:00,37921.12000000,38444.00000000,37351.00000000,38050.00000000,14665.03998200
41,2021-02-07 20:00:00,38050.00000000,39080.00000000,37660.97000000,38795.69000000,10352.68755600
42,2021-02-08 00:00:00,38795.69000000,39130.00000000,37988.89000000,38076.06000000,10542.21686300
43,2021-02-08 04:00:00,38073.02000000,39391.78000000,37992.39000000,39269.95000000,10267.21994500
44,2021-02-08 08:00:00,39269.78000000,39498.99000000,38844.75000000,39423.08000000,10896.46518300
45,2021-02-08 12:00:00,39423.08000000,44918.00000000,39094.01000000,43716.32000000,56908.03053200
46,2021-02-08 16:00:00,43703.23000000,44280.00000000,42521.62000000,43051.95000000,19943.67128500
47,2021-02-08 20:00:00,43049.98000000,46794.45000000,42905.29000000,46374.87000000,30039.93310600
48,2021-02-09 00:00:00,46374.86000000,47498.00000000,45500.00000000,46599.51000000,26874.24810600
49,2021-02-09 04:00:00,46599.51000000,48142.19000000,46198.76000000,47505.40000000,20161.33290500
50,2021-02-09 08:00:00,47505.39000000,47928.23000000,45560.97000000,46380.92000000,20244.46209200
51,2021-02-09 12:00:00,46390.95000000,47083.84000000,44961.09000000,46773.63000000,21012.57191400
52,2021-02-09 16:00:00,46773.63000000,47433.78000000,46011.00000000,47060.18000000,15682.98794600
53,2021-02-09 20:00:00,47060.38000000,47499.43000000,46201.37000000,46420.42000000,11524.25874900
54,2021-02-10 00:00:00,46420.42000000,46900.00000000,45979.58000000,46221.07000000,13015.14104200
